1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice,BsmtExposure_No,BsmtExposure_Yes,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Unf,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
856,854.0,3.0,706,150,0.0,548,2003.0,1710,8450,65.0,196.0,61,5,7,856,0.0,2003,2003,208500,1,0,0,1,0,0,0,1,0,0,1,0
1262,0.0,3.0,978,284,25.330882352941178,460,1976.0,1262,9600,80.0,0.0,0,8,6,1262,103.74193548387096,1976,1976,181500,0,1,1,0,0,0,0,1,0,0,0,1
920,866.0,3.0,486,434,0.0,608,2001.0,1786,11250,68.0,162.0,42,5,7,920,103.74193548387096,2001,2002,223500,0,1,0,1,0,0,0,1,0,0,1,0
961,348.5240174672489,2.8692138133725202,216,540,25.330882352941178,642,1998.0,1717,9550,60.0,0.0,35,5,7,756,103.74193548387096,1915,1970,140000,1,0,1,0,0,0,0,0,1,0,1,0
1145,348.5240174672489,4.0,655,490,0.0,836,2000.0,2198,14260,84.0,350.0,84,5,8,1145,103.74193548387096,2000,2000,250000,0,1,0,1,0,0,0,1,0,0,1,0
796,566.0,1.0,732,64,25.330882352941178,480,1993.0,1362,14115,85.0,0.0,30,5,5,796,103.74193548387096,1993,1995,143000,1,0,0,1,0,0,0,0,1,0,0,1
1694,0.0,3.0,0,317,25.330882352941178,636,2004.0,1694,10084,75.0,186.0,57,5,8,1686,103.74193548387096,2004,2005,307000,0,1,0,1,0,0,0,1,0,0,1,0
1107,983.0,3.0,859,216,25.330882352941178,484,1973.0,2090,10382,70.04995836802665,240.0,204,6,7,1107,103.74193548387096,1973,1973,200000,0,1,1,0,0,0,0,0,1,0,0,1
1022,752.0,2.0,0,952,25.330882352941178,468,1931.0,1774,6120,51.0,0.0,0,5,7,952,103.74193548387096,1931,1950,129900,1,0,0,0,0,1,0,0,1,0,0,1
1077,0.0,2.0,851,140,25.330882352941178,205,1939.0,1077,7420,50.0,0.0,4,6,5,991,103.74193548387096,1939,1950,118000,1,0,0,1,0,0,0,1,0,0,0,1
1040,0.0,3.0,906,134,25.330882352941178,384,1965.0,1040,11200,70.0,0.0,0,5,5,1040,103.74193548387096,1965,1965,129500,1,0,0,0,1,0,0,0,1,0,0,1
1182,1142.0,4.0,998,177,25.330882352941178,736,2005.0,2324,11924,85.0,286.0,21,5,9,1175,103.74193548387096,2005,2006,345000,1,0,0,0,0,1,1,0,0,1,0,0
912,0.0,2.0,737,175,25.330882352941178,352,1962.0,912,12968,70.04995836802665,0.0,0,6,5,912,103.74193548387096,1962,1962,144000,1,0,1,0,0,0,0,0,1,0,0,1
1494,0.0,3.0,0,1494,25.330882352941178,840,2006.0,1494,10652,91.0,306.0,33,5,7,1494,160.0,2006,2007,279500,0,1,0,0,0,1,0,1,0,0,1,0
1253,0.0,2.8692138133725202,733,520,25.330882352941178,352,1960.0,1253,10920,70.04995836802665,212.0,213,5,6,1253,103.74193548387096,1960,1960,157000,1,0,1,0,0,0,0,1,0,0,0,1
