,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,BsmtExposure_No,BsmtExposure_Yes,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Unf,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,SalePrice
892,1068,0.0,3.0,663,396,25.330882352941178,264,1963.0,1068,8414,70.0,0.0,0,8,6,1059,103.74193548387096,1963,2003,1,0,0,1,0,0,0,1,0,0,0,1,154500
1105,1500,348.5240174672489,3.0,1032,431,25.330882352941178,712,1994.0,0,12256,98.0,362.0,32,5,8,1463,103.74193548387096,1994,1995,0,1,0,1,0,0,0,1,0,0,1,0,325000
413,1028,348.5240174672489,2.0,0,1008,25.330882352941178,360,1927.0,1028,8960,56.0,0.0,0,6,5,1008,103.74193548387096,1927,1950,1,0,0,0,0,1,0,0,1,0,0,1,115000
522,1004,348.5240174672489,3.0,399,605,25.330882352941178,420,1950.0,1664,5000,50.0,0.0,24,7,6,1004,103.74193548387096,1947,1950,1,0,1,0,0,0,0,0,1,0,0,1,159000
1036,1620,0.0,2.0,1022,598,25.330882352941178,0,2008.0,1620,12898,89.0,70.0,0,5,9,1620,103.74193548387096,2007,2008,0,1,0,1,0,0,1,0,0,1,0,0,315500
614,630,0.0,1.0,150,0,25.330882352941178,0,1978.5061638868744,630,1491,21.0,0.0,24,6,4,630,103.74193548387096,1972,1972,0,1,0,0,1,0,1,0,0,0,0,1,75500
218,1137,817.0,3.0,341,457,25.330882352941178,431,1939.0,1954,15660,70.04995836802665,312.0,119,9,7,798,0.0,1939,2006,1,0,1,0,0,0,0,0,1,0,1,0,311500
1160,855,601.0,3.0,311,544,25.330882352941178,440,1978.0,1456,2280,24.0,0.0,0,5,6,855,103.74193548387096,1978,1978,1,0,0,0,0,1,0,0,1,0,0,1,146000
649,630,0.0,1.0,131,0,25.330882352941178,0,1978.5061638868744,630,1936,21.0,0.0,0,6,4,630,103.74193548387096,1970,1970,0,1,1,0,0,0,0,0,1,0,0,1,84500
887,872,521.0,3.0,0,816,25.330882352941178,300,1955.0,1393,16466,59.0,0.0,0,7,5,816,103.74193548387096,1955,1955,1,0,0,0,0,1,0,0,1,0,0,1,135500
576,877,600.0,3.0,0,861,25.330882352941178,216,1928.0,1477,6292,52.0,0.0,50,7,7,861,0.0,1928,1950,1,0,0,0,0,1,0,0,1,0,0,1,145000
1252,874,0.0,3.0,510,354,25.330882352941178,288,1968.0,874,9858,62.0,0.0,0,6,5,864,33.0,1968,1968,1,0,0,0,0,1,0,1,0,0,0,1,130000
1061,894,0.0,2.0,0,894,25.330882352941178,0,1994.0,894,0,0.0,0.0,20,4,3,894,0.0,1935,1950,1,0,0,0,0,1,0,1,0,0,0,1,81000
567,1535,0.0,3.0,2,1515,25.330882352941178,532,2004.0,1535,10171,70.0,168.0,0,5,7,1517,0.0,2004,2004,1,0,0,1,0,0,0,1,0,0,1,0,214000
1108,948,742.0,3.0,0,924,25.330882352941178,463,2000.0,1690,8063,70.04995836802665,0.0,48,5,6,924,103.74193548387096,2000,2000,1,0,0,0,0,1,0,1,0,0,0,1,181000
1113,1008,0.0,2.0,643,365,25.330882352941178,240,1953.0,1008,8923,66.0,0.0,18,7,5,1008,103.74193548387096,1953,2006,1,0,1,0,0,0,0,0,1,0,1,0,134500
168,840,880.0,3.0,0,840,25.330882352941178,440,2004.0,1720,8244,62.0,0.0,48,5,7,840,103.74193548387096,2004,2004,1,0,0,0,0,1,1,0,0,0,1,0,183500
1102,1134,0.0,2.0,588,422,25.330882352941178,254,1960.0,1134,7000,70.0,45.0,16,7,5,1010,0.0,1960,2002,1,0,0,0,0,1,0,0,1,0,0,1,135000
1120,1012,0.0,2.0,0,1012,25.330882352941178,308,1920.0,1012,8263,59.0,0.0,22,5,6,1012,103.74193548387096,1920,1950,1,0,0,0,0,1,0,0,1,0,0,1,118400
67,1479,0.0,3.0,1013,440,25.330882352941178,558,2003.0,1479,10665,72.0,167.0,29,5,7,1453,103.74193548387096,2003,2003,0,1,0,1,0,0,0,1,0,0,1,0,226000
1040,1803,0.0,3.0,168,284,25.330882352941178,484,1957.0,1803,13125,88.0,67.0,0,4,5,1134,103.74193548387096,1957,2000,1,0,0,0,1,0,0,1,0,0,0,1,155000
453,786,348.5240174672489,3.0,0,768,25.330882352941178,676,2008.0,1590,9000,75.0,0.0,30,5,8,768,0.0,2008,2008,1,0,0,0,0,1,0,1,0,0,1,0,210000
670,738,348.5240174672489,3.0,193,545,25.330882352941178,540,2005.0,1476,8633,64.0,0.0,35,5,6,738,103.74193548387096,2005,2005,1,0,0,1,0,0,1,0,0,0,1,0,173500
1094,936,0.0,2.0,248,448,25.330882352941178,308,1956.0,936,5868,74.0,0.0,0,7,5,936,103.74193548387096,1956,2000,1,0,1,0,0,0,1,0,0,0,0,1,129000
192,1431,0.0,3.0,560,871,25.330882352941178,666,1999.0,1431,9017,68.0,0.0,35,5,7,1431,103.74193548387096,1999,1999,0,1,0,1,0,0,1,0,0,0,1,0,192000
123,1199,0.0,2.0,300,899,25.330882352941178,530,1993.0,1199,7892,55.0,0.0,63,5,6,1199,103.74193548387096,1993,1993,1,0,0,1,0,0,0,1,0,0,1,0,153900
415,1340,0.0,3.0,24,1316,25.330882352941178,396,2007.0,1340,8899,73.0,0.0,30,5,7,1340,103.74193548387096,2007,2007,0,1,0,1,0,0,1,0,0,0,1,0,181134
277,864,0.0,2.0,120,744,25.330882352941178,400,1951.0,864,0,0.0,0.0,0,5,4,864,103.74193548387096,1951,1951,1,0,0,0,1,0,0,0,1,0,0,1,141000
