,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,BsmtExposure_No,BsmtExposure_Yes,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Unf,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,SalePrice
135,1682,0.0,3.0,0,1304,25.330882352941178,530,1970.0,1682,10400,80.0,288.0,0,6,7,1304,103.74193548387096,1970,1970,1,0,0,0,0,1,0,0,1,0,0,1,174000
1452,1072,0.0,2.0,547,0,25.330882352941178,525,2005.0,1072,3675,35.0,80.0,28,5,5,547,103.74193548387096,2005,2005,0,1,0,1,0,0,1,0,0,0,0,1,145000
762,764,783.0,3.0,24,732,25.330882352941178,614,2009.0,1547,8640,72.0,0.0,45,5,7,756,103.74193548387096,2009,2009,0,1,0,1,0,0,0,0,1,0,1,0,215200
932,0,0.0,3.0,0,1905,0.0,788,2006.0,1905,11670,84.0,302.0,191,5,9,0,103.74193548387096,2006,2006,1,0,0,0,0,1,1,0,0,1,0,0,320000
435,827,834.0,3.0,385,70,25.330882352941178,550,1996.0,1661,10667,43.0,0.0,61,6,7,799,103.74193548387096,1996,1996,0,1,0,1,0,0,0,1,0,0,1,0,212000
629,1350,0.0,3.0,624,288,25.330882352941178,520,1964.0,1350,9020,82.0,259.0,0,5,6,1248,103.74193548387096,1964,1964,0,1,0,1,0,0,0,1,0,0,0,1,168500
1210,1055,790.0,2.8692138133725202,0,1055,25.330882352941178,462,1992.0,1845,11218,70.0,0.0,104,5,6,1055,103.74193548387096,1992,1992,1,0,0,0,0,1,0,1,0,0,1,0,189000
1118,1021,580.0,2.8692138133725202,0,533,25.330882352941178,300,1958.0,1601,13825,85.0,0.0,34,6,5,533,103.74193548387096,1958,1987,1,0,0,0,0,1,0,1,0,0,0,1,140000
1084,691,807.0,3.0,592,99,25.330882352941178,409,1995.0,1498,13031,70.04995836802665,0.0,44,5,6,691,103.74193548387096,1995,1996,1,0,1,0,0,0,1,0,0,0,0,1,187500
158,991,956.0,3.0,222,769,25.330882352941178,678,2004.0,1947,12552,100.0,0.0,136,5,7,991,103.74193548387096,2004,2005,1,0,0,1,0,0,0,1,0,0,1,0,254900
967,1098,0.0,3.0,902,196,25.330882352941178,260,1955.0,1098,7390,70.04995836802665,151.0,0,7,5,1098,103.74193548387096,1955,1955,1,0,1,0,0,0,0,0,1,0,0,1,135000
1259,1054,0.0,3.0,602,14,25.330882352941178,460,1969.0,1054,9750,65.0,0.0,0,8,6,1054,103.74193548387096,1969,1969,1,0,1,0,0,0,0,0,1,0,0,1,151000
551,928,0.0,3.0,308,620,25.330882352941178,288,1957.0,928,6000,50.0,0.0,0,6,5,928,103.74193548387096,1957,1957,1,0,0,0,1,0,1,0,0,0,0,1,112500
497,1133,687.0,4.0,329,697,25.330882352941178,240,1925.0,1820,9120,60.0,0.0,100,6,7,1026,103.74193548387096,1925,1950,1,0,0,0,1,0,0,0,1,0,0,1,184000
1031,1687,998.0,0.0,523,301,25.330882352941178,672,1970.0,0,15863,102.0,0.0,63,3,7,824,103.74193548387096,1920,1970,1,0,0,1,0,0,1,0,0,0,0,1,197000
1262,1104,684.0,0.0,0,1104,25.330882352941178,304,1957.0,1788,11250,70.04995836802665,0.0,0,5,4,1104,103.74193548387096,1957,1989,0,1,0,0,0,1,0,0,1,0,0,1,161500
1013,1022,0.0,2.0,247,310,226.0,280,1956.0,1022,7200,60.0,0.0,30,4,5,1022,103.74193548387096,1910,2006,1,0,0,0,0,1,0,0,1,0,0,1,85000
1311,1274,0.0,3.0,925,349,25.330882352941178,508,2005.0,1274,8814,68.0,80.0,98,5,7,1274,103.74193548387096,2005,2007,1,0,0,1,0,0,0,0,1,0,1,0,203000
566,1134,1370.0,4.0,0,1122,25.330882352941178,656,2005.0,0,11198,77.0,245.0,39,5,9,1122,103.74193548387096,2005,2007,1,0,0,0,0,1,1,0,0,1,0,0,325000
610,1476,677.0,3.0,904,536,25.330882352941178,736,2000.0,2153,11050,70.04995836802665,204.0,142,5,9,1440,103.74193548387096,2000,2000,0,1,0,1,0,0,1,0,0,1,0,0,313000
1278,1128,903.0,3.0,804,324,25.330882352941178,577,2002.0,2031,9473,75.0,103.68526170798899,211,5,8,1128,0.0,2002,2002,1,0,0,1,0,0,0,0,1,0,1,0,237000
1263,1060,764.0,2.8692138133725202,0,764,25.330882352941178,520,1940.0,1824,13515,60.0,0.0,0,6,6,764,103.74193548387096,1919,1950,1,0,0,0,0,1,0,0,1,0,0,1,180500
816,1008,0.0,2.0,486,522,25.330882352941178,275,1954.0,1008,11425,70.04995836802665,0.0,0,6,5,1008,103.74193548387096,1954,1954,1,0,1,0,0,0,0,0,1,0,0,1,137000
438,694,0.0,2.8692138133725202,365,75,25.330882352941178,352,1990.0,694,4280,40.0,0.0,0,6,5,440,103.74193548387096,1913,2002,1,0,0,0,1,0,0,0,1,0,1,0,90350
940,1728,0.0,4.0,936,396,25.330882352941178,574,1976.0,1728,12640,55.0,0.0,0,5,6,1728,103.74193548387096,1976,1976,0,1,0,0,1,0,0,0,1,0,0,1,150900
96,1588,348.5240174672489,2.8692138133725202,1162,426,25.330882352941178,472,1999.0,1588,10264,78.0,183.0,29,5,7,1588,103.74193548387096,1999,1999,0,1,1,0,0,0,0,1,0,0,1,0,214000
560,1392,0.0,3.0,0,90,0.0,528,1957.0,1392,11341,70.04995836802665,180.0,0,6,5,1392,0.0,1957,1996,1,0,0,0,0,1,0,0,1,0,0,1,121500
1182,0,2065.0,4.0,0,300,25.330882352941178,813,1996.0,0,15623,0.0,0.0,78,5,10,0,103.74193548387096,1996,1996,0,1,0,1,0,0,1,0,0,1,0,0,745000
471,1161,808.0,3.0,0,808,25.330882352941178,534,1977.0,1969,11952,92.0,0.0,0,6,7,808,103.74193548387096,1977,1977,1,0,0,0,0,1,0,1,0,0,0,1,190000
1004,1504,0.0,1.0,16,1330,25.330882352941178,457,2005.0,1504,3182,43.0,16.0,0,5,7,1346,103.74193548387096,2005,2006,1,0,0,1,0,0,1,0,0,0,1,0,181000
410,1276,0.0,2.8692138133725202,0,1276,25.330882352941178,350,1958.0,1276,9571,68.0,0.0,0,3,5,1276,103.74193548387096,1958,1958,1,0,0,0,0,1,0,0,1,0,0,1,60000
963,1800,0.0,2.0,0,1800,25.330882352941178,702,2007.0,1800,11923,0.0,0.0,136,5,9,0,103.74193548387096,2007,2007,1,0,0,0,0,1,1,0,0,1,0,0,239000
582,816,0.0,3.0,816,0,25.330882352941178,0,1978.5061638868744,816,11841,81.0,104.0,32,5,6,816,103.74193548387096,1990,1990,0,1,0,1,0,0,1,0,0,0,0,1,118500
156,1040,0.0,2.0,0,0,25.330882352941178,625,1950.0,1040,7200,60.0,0.0,0,7,5,0,103.74193548387096,1950,1950,0,1,0,0,1,0,0,0,1,0,0,1,109500
594,924,0.0,3.0,0,924,25.330882352941178,280,1981.0,924,7990,88.0,0.0,0,6,5,924,103.74193548387096,1975,1975,1,0,0,0,0,1,0,0,1,0,0,1,110000
617,832,0.0,2.0,0,832,25.330882352941178,528,1962.0,832,7227,59.0,0.0,0,6,6,832,103.74193548387096,1954,1954,1,0,0,0,0,1,0,0,1,0,1,0,105500
447,956,930.0,2.8692138133725202,0,930,25.330882352941178,431,1998.0,1886,11214,70.04995836802665,0.0,0,5,7,930,103.74193548387096,1998,1999,1,0,0,0,0,1,1,0,0,0,1,0,199900
1205,0,0.0,2.8692138133725202,485,1496,25.330882352941178,701,1990.0,2196,14684,90.0,234.0,70,7,7,0,84.0,1990,1991,0,1,1,0,0,0,0,1,0,0,1,0,271900
861,1039,0.0,3.0,841,198,25.330882352941178,504,1965.0,1039,11625,75.0,0.0,0,4,5,1039,103.74193548387096,1965,1965,0,1,1,0,0,0,0,0,1,0,0,1,131500
